"Aheadworks Blog","Aheadworks Blog"
"Enable for Blog Post Comments","Enable for Blog Post Comments"
"Blog Post Comment reCAPTCHA Usage mode","Blog Post Comment reCAPTCHA Usage mode"
"Assign to Author","Assign to Author"
"Are you sure to assign selected posts to author?","Are you sure to assign selected posts to author?"
"Indexed product/post association","Indexed product/post association"
"Blog Tag Cloud by Aheadworks","Blog Tag Cloud by Aheadworks"
"Tag Cloud","Tag Cloud"
Template,Template
"Blog Tag Cloud Default Template","Blog Tag Cloud Default Template"
"Recent Blog Posts by Aheadworks","Recent Blog Posts by Aheadworks"
"Recent Blog Posts","Recent Blog Posts"
"Disable images","Disable images"
"Number of Posts to display","Number of Posts to display"
"Recent Blog Posts Default Template","Recent Blog Posts Default Template"
Settings,Settings
"Author Details","Author Details"
"NO IMAGE","NO IMAGE"
"Image File","Image File"
"Use a square image of 200x200 pixels minimum. 400x400 pixels is recommended.","Use a square image of 200x200 pixels minimum. 400x400 pixels is recommended."
"First Name","First Name"
"Last Name","Last Name"
URL-Key,URL-Key
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
Prefix,Prefix
Suffix,Suffix
"Job Position","Job Position"
"Short Bio","Short Bio"
"Twitter ID","Twitter ID"
"Facebook ID","Facebook ID"
"www.facebook.com/<your profile ID>","www.facebook.com/<your profile ID>"
"LinkedIn ID","LinkedIn ID"
"www.linkedin.com/in/<your profile ID>","www.linkedin.com/in/<your profile ID>"
"Create New Author","Create New Author"
"Delete items","Delete items"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
Image,Image
"Qty of Posts","Qty of Posts"
Edit,Edit
Select...,Select...
Category,Category
Status,Status
"Publish Date","Publish Date"
"Published Comments","Published Comments"
"New Comments","New Comments"
Tags,Tags
"Store View","Store View"
Modified,Modified
Created,Created
"Image Title","Image Title"
"Image Alt Text","Image Alt Text"
"Add CMS Block","Add CMS Block"
"Enable Description","Enable Description"
Description,Description
"Create Category","Create Category"
"Change Status","Change Status"
"Category Name","Category Name"
"URL Key","URL Key"
"Sort Order","Sort Order"
